async,2.6.1,https://caolan.github.io/async/,MIT
async-each,1.0.1,https://github.com/paulmillr/async-each/,MIT
async-foreach,0.1.3,http://github.com/cowboy/javascript-sync-async-foreach,MIT*
asynckit,0.4.0,https://github.com/alexindigo/asynckit#readme,MIT
atob,2.1.2,https://git.coolaj86.com/coolaj86/atob.js.git,(MIT OR Apache-2.0)
autoprefixer,6.7.7,Unknown,MIT
autoprefixer,7.2.6,Unknown,MIT
aws-sign2,0.7.0,http://www.futurealoof.com,Apache 2.0
aws4,1.8.0,http://github.com/mhart,MIT
axiom-types,0.1.1,https://github.com/dkubb/axiom-types,MIT
axobject-query,2.0.2,https://github.com/A11yance/axobject-query#readme,Apache 2.0
babel-code-frame,6.26.0,https://babeljs.io/,MIT
babel-core,6.26.3,https://babeljs.io/,MIT
babel-eslint,8.2.6,https://github.com/babel/babel-eslint,MIT
babel-generator,6.26.1,https://babeljs.io/,MIT
babel-helper-bindify-decorators,6.24.1,Unknown,MIT
babel-helper-builder-binary-assignment-operator-visitor,6.24.1,Unknown,MIT
babel-helper-builder-react-jsx,6.26.0,Unknown,MIT
babel-helper-call-delegate,6.24.1,Unknown,MIT
babel-helper-define-map,6.26.0,Unknown,MIT
babel-helper-explode-assignable-expression,6.24.1,Unknown,MIT
babel-helper-explode-class,6.24.1,Unknown,MIT
babel-helper-function-name,6.24.1,Unknown,MIT
babel-helper-get-function-arity,6.24.1,Unknown,MIT
babel-helper-hoist-variables,6.24.1,Unknown,MIT
babel-helper-optimise-call-expression,6.24.1,Unknown,MIT
babel-helper-regex,6.26.0,Unknown,MIT
babel-helper-remap-async-to-generator,6.24.1,Unknown,MIT
babel-helper-replace-supers,6.24.1,Unknown,MIT
babel-helpers,6.24.1,https://babeljs.io/,MIT
babel-loader,7.1.5,https://github.com/babel/babel-loader,MIT
babel-messages,6.23.0,https://babeljs.io/,MIT
babel-plugin-array-includes,2.0.3,Unknown,MIT
babel-plugin-check-es2015-constants,6.22.0,Unknown,MIT
